.next/types/app/(dashboard)/admin/contact-centre/purge/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/admin/contact-centre/purge/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/admin/contact-centre/purge/page.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/admin/contact-centre/purge/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/admin/layout.ts(2,24): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/admin/layout.js' or its corresponding type declarations.
.next/types/app/(dashboard)/admin/layout.ts(5,29): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/admin/layout.js' or its corresponding type declarations.
.next/types/app/(dashboard)/calendar/page.ts(2,24): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/calendar/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/calendar/page.ts(5,29): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/calendar/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/contracts/create-quotation/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/contracts/create-quotation/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/contracts/create-quotation/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/contracts/create-quotation/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/contracts/detail/[contractId]/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/contracts/detail/[contractId]/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/contracts/detail/[contractId]/page.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/contracts/detail/[contractId]/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/contracts/page.ts(2,24): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/contracts/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/contracts/page.ts(5,29): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/contracts/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/contracts/quotations/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/contracts/quotations/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/contracts/quotations/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/contracts/quotations/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/invoices/page.ts(2,24): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/invoices/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/invoices/page.ts(5,29): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/invoices/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/invoices/payments/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/invoices/payments/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/invoices/payments/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/invoices/payments/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/invoices/pending-payments/[customerId]/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/invoices/pending-payments/[customerId]/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/invoices/pending-payments/[customerId]/page.ts(5,29): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/invoices/pending-payments/[customerId]/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/invoices/pending-payments/page.ts(2,24): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/invoices/pending-payments/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/invoices/pending-payments/page.ts(5,29): error TS2307: Cannot find module '../../../../../../src/app/(dashboard)/invoices/pending-payments/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/map/page.ts(2,24): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/map/page.js' or its corresponding type declarations.
.next/types/app/(dashboard)/map/page.ts(5,29): error TS2307: Cannot find module '../../../../../src/app/(dashboard)/map/page.js' or its corresponding type declarations.
